annee;filiere;libelle_grand_secteur;conso;code_region;libelle_region
2020;Electricité;Tertiaire;135719.2771;84;Auvergne-Rhône-Alpes
2020;Electricité;Tertiaire;1204.307968;84;Auvergne-Rhône-Alpes
2020;Electricité;Tertiaire;17371.36323;84;Auvergne-Rhône-Alpes
2020;Electricité;Tertiaire;106935.3465;84;Auvergne-Rhône-Alpes
2020;Electricité;Tertiaire;62186.18198;84;Auvergne-Rhône-Alpes
2020;Electricité;Secteur Inconnu;6634.348055;84;Auvergne-Rhône-Alpes
2020;Electricité;Agriculture;390022.7856;84;Auvergne-Rhône-Alpes
2020;Electricité;Secteur Inconnu;228033.5269;84;Auvergne-Rhône-Alpes
2020;Electricité;Résidentiel;18964849.17;84;Auvergne-Rhône-Alpes
2020;Electricité;Agriculture;165938.5212;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Industrie;81973.63397;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Industrie;124359.2553;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Industrie;20213.13193;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Industrie;11793.69868;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Industrie;6105.851607;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;59604.7096;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;222.5372317;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;1127159.238;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;13387.31051;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;473923.9464;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;236390.8733;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;162060.5266;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;141651.7593;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;226563.0729;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;3237.354167;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;10006.14155;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;7924.673338;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;16481.98009;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;254394.8181;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;99124.67103;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;84283.83433;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;7793.983484;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;32685.13132;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Résidentiel;14712618.98;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Industrie;343.2037269;XX;Non affecté à une région
2020;Electricité;Industrie;190.8764941;XX;Non affecté à une région
2020;Electricité;Secteur Inconnu;59.628367;XX;Non affecté à une région
2020;Electricité;Tertiaire;55.85628498;XX;Non affecté à une région
2020;Electricité;Industrie;722.0;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Industrie;78.0;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;3231.0;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;947.0;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;481.0;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;71.0;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;180.0;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;7556.0;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;11.0;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;44.0;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;1543.0;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;1193.0;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;83.0;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;641.0;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Tertiaire;75.0;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Industrie;836.0;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Résidentiel;39353.0;93;Provence-Alpes-Côte d'Azur
2020;Electricité;Agriculture;0.0;76;Occitanie
2020;Electricité;Industrie;18453.759;44;Grand Est
2020;Electricité;Tertiaire;621.357;44;Grand Est
2020;Electricité;Secteur Inconnu;4045.605;44;Grand Est
2020;Electricité;Tertiaire;5186.855;44;Grand Est
2020;Electricité;Secteur Inconnu;1222.906;44;Grand Est
2020;Electricité;Résidentiel;13165.112;44;Grand Est
2020;Electricité;Industrie;59.263;44;Grand Est
2020;Electricité;Résidentiel;4188.159;44;Grand Est
2020;Electricité;Tertiaire;3689.401;44;Grand Est
2020;Electricité;Secteur Inconnu;10659.457;44;Grand Est
