date;fr_gb;gb_fr;fr_cwe;cwe_fr;fr_ch;ch_fr;fr_it;it_fr;fr_es;es_fr;export_france;import_france
2005;11918959.0;-1373306.0;24518789.0;-22671548.0;26597656.0;-6196632.0;20485033.0;-1131385.0;7351227.0;-910836.0;90871664.0;-32283707.0
2006;11429344.0;-1577466.0;26694396.0;-16774901.0;26451479.0;-6029537.0;18732081.0;-1355852.0;6581231.0;-2264974.0;89888531.0;-28002730.0
2007;9079685.508;-3120418.179;19787878.0;-17816247.0;26114806.0;-4358058.0;20698569.0;-348564.0;7299316.0;-1915289.0;82980253.508;-27558575.179
2008;12743065.048;-1408852.393;17256277.0;-20848065.0;26069143.0;-7688622.5;19606653.0;-1814107.0;5753284.0;-3002443.0;81428422.048;-34762089.393
2009;7647787.052;-4253146.675;10185763.0;-24970057.0;25732579.0;-9217794.0;19363551.0;-1188574.0;5300242.0;-3848068.0;68229922.052;-43477639.675
2010;8498165.865;-5472392.363;13248889.0;-20834311.0;25548506.0;-6045850.0;17363935.0;-1226467.0;1895991.0;-3520622.0;66555486.865;-37099642.363
2011;7731526.809;-2930070.011;18695235.0;-10513610.0;27613124.0;-2405011.0;16837022.0;-754468.0;4506238.0;-3048331.0;75383145.809;-19651490.011
2012;8384872.23;-1891026.181;19067562.0;-15845860.0;24512905.0;-6985594.0;15689173.0;-578503.0;5863824.0;-3971205.0;73518336.23;-29272188.181
2013;12310423.013;-1833995.769;20573407.26;-17450465.32;23858006.61;-7370015.61;16857827.0;-1502025.0;5758511.0;-4051551.0;79355366.013;-32205291.769
2014;15981893.865;-839249.636;24676513.35;-14061066.53;25538238.85;-9074492.0;19776724.0;-472165.0;6467401.8;-2903323.1;92436163.865;-27345478.636
2015;15885197.0;-1835059.191;20124403.34;-13421208.85;25877636.72;-11984136.46;20100535.0;-369483.0;9294217.4;-1973464.3;91276598.0;-29577901.191
2016;12751262.466;-2723687.793;10550633.26;-15907158.59;17439824.33;-7305023.51;17712366.0;-1179178.0;13291062.9;-5485387.0;71739159.466;-32594114.793
2017;11827342.819;-3876968.683;8716612.06;-19642999.12;17701621.975;-7393099.765;18846677.0;-692679.0;17073431.4;-4608965.0;74159365.819;-36207552.683
2018;14754038.723;-1768430.919;18502939.41;-12418799.7;17572042.05;-6982685.34;19082946.0;-546165.0;16419940.9;-4378178.9;86325507.723;-26087608.919
2019;14179758.117;-2943944.063;17412809.19;-14701648.07;19274107.92;-6134235.87;19233404.0;-354800.0;13881907.6;-4177338.5;83975132.117;-28304617.063
2020;13161184.26;-4398546.574;15756678.65;-15143835.88;19500042.59;-6314144.82;16274293.0;-888590.0;13099201.3;-7851334.2;77783308.26;-34588264.574
2021;19725179.555;-5815633.78;12087231.45;-22175568.49;21659095.29;-6065812.87;18810443.1;-1183130.9;14793283.9;-8740230.99;87066533.555;-43970593.78
