identifiant;status;type;filiere;nom;numero_de_version;date_de_publication;date_de_debut;date_de_fin;cause;information_complementaire;puissance_maximale_mw;puissance_disponible_mw;perimetre_juridique;perimetre_spatial
05470_EDF_T_00119596;Active;Fortuite;Nucléaire;ST ALBAN 1;4;2024-01-07T07:49:50+01:00;2023-12-27 12:12:00+00:00;2024-01-08 23:00:00+00:00;Défaillance;;1335.0;1140.0;EDF SA + Luminus;France métropolitaine sans la Corse ni les îles du ponant + Belgique
05470_EDF_T_00046601;Active;Planifiée;Nucléaire;CHINON 1;48;2024-01-05T21:48:12+01:00;2023-02-07 00:15:00+00:00;2024-03-15 22:00:00+00:00;Informations complémentaires;Outage duration may be extended : https://doaat.edf.fr/message/edf-2023-00240 After its restart, the plant will gradually return by various load thresholds to full power. The ramp-up period will take at least 48 hours. ------------------------------------- Arrêt susceptible d'être prolongé :  https://doaat.edf.fr/message/edf-2023-00239 Après son recouplage, la tranche remontera progressivement par palier de charge à sa pleine puissance. La remontée durera au moins 48h.;905.0;0.0;EDF SA + Luminus;France métropolitaine sans la Corse ni les îles du ponant + Belgique
05470_EDF_T_00048927;Active;Planifiée;Nucléaire;CRUAS 2;23;2024-01-05T20:55:33+01:00;2023-09-22 22:00:00+00:00;2024-01-10 22:00:00+00:00;Informations complémentaires;Après son recouplage, la tranche remontera progressivement par palier de charge à sa pleine puissance. La remontée durera au moins 48h. Premier palier à atteindre : 98 MW. -------- After its restart, the plant will gradually return by various load threshold to full power. The ramp-up period will take at least 48 hours. First threshold after restart : 98 MW.;915.0;0.0;EDF SA + Luminus;France métropolitaine sans la Corse ni les îles du ponant + Belgique
05470_EDF_T_00119631;Active;Fortuite;Nucléaire;CHINON 2;13;2024-01-05T19:34:03+01:00;2023-12-27 19:30:00+00:00;2024-01-06 03:30:00+00:00;Défaillance;;905.0;350.0;EDF SA + Luminus;France métropolitaine sans la Corse ni les îles du ponant + Belgique
05470_EDF_T_00118861;Active;Planifiée;Nucléaire;CATTENOM 1;6;2024-01-05T10:59:24+01:00;2023-12-22 22:00:00+00:00;2024-01-05 22:00:00+00:00;Informations complémentaires;Le placement et la durée de cet arrêt pour modulation seront réinterrogés et la tranche sera redémarrée si les conditions économiques le justifient ------------------------------ The planning and duration of this unavailability for modulation supply will be reassessed and the plant may be restarted for economic reasons;1300.0;0.0;EDF SA + Luminus;France métropolitaine sans la Corse ni les îles du ponant + Belgique
05470_EDF_T_00048927;Inactive;Planifiée;Nucléaire;CRUAS 2;22;2024-01-05T10:59:21+01:00;2023-09-22 22:00:00+00:00;2024-01-07 22:00:00+00:00;Informations complémentaires;Après son recouplage, la tranche remontera progressivement par palier de charge à sa pleine puissance. La remontée durera au moins 48h. Premier palier à atteindre : 98 MW. -------- After its restart, the plant will gradually return by various load threshold to full power. The ramp-up period will take at least 48 hours. First threshold after restart : 98 MW.;915.0;0.0;EDF SA + Luminus;France métropolitaine sans la Corse ni les îles du ponant + Belgique
05470_EDF_T_00048927;Inactive;Planifiée;Nucléaire;CRUAS 2;21;2024-01-05T04:41:20+01:00;2023-09-22 22:00:00+00:00;2024-01-06 22:00:00+00:00;Informations complémentaires;Après son recouplage, la tranche remontera progressivement par palier de charge à sa pleine puissance. La remontée durera au moins 48h. Premier palier à atteindre : 98 MW. -------- After its restart, the plant will gradually return by various load threshold to full power. The ramp-up period will take at least 48 hours. First threshold after restart : 98 MW.;915.0;0.0;EDF SA + Luminus;France métropolitaine sans la Corse ni les îles du ponant + Belgique
05470_EDF_T_00119631;Inactive;Fortuite;Nucléaire;CHINON 2;12;2024-01-05T04:22:03+01:00;2023-12-27 19:30:00+00:00;2024-01-06 11:00:00+00:00;Défaillance;;905.0;350.0;EDF SA + Luminus;France métropolitaine sans la Corse ni les îles du ponant + Belgique
05470_EDF_T_00048975;Active;Planifiée;Nucléaire;ST LAURENT 1;14;2024-01-04T18:01:40+01:00;2023-08-25 20:00:00+00:00;2024-01-27 22:00:00+00:00;Informations complémentaires;Shutdown likely to be prolonged After its restart, the plant will gradually return by various load thresholds to full power. The ramp-up period will take at least 48 hours. ------------------------------------- Arrêt susceptible de se prolonger Après son recouplage, la tranche remontera progressivement par palier de charge à sa pleine puissance. La remontée durera au moins 48h.;915.0;0.0;EDF SA + Luminus;France métropolitaine sans la Corse ni les îles du ponant + Belgique
05470_EDF_T_00119348;Active;Fortuite;Nucléaire;DAMPIERRE 2;8;2024-01-04T17:48:43+01:00;2023-12-24 11:00:00+00:00;2024-01-04 16:46:00+00:00;Défaillance;;890.0;0.0;EDF SA + Luminus;France métropolitaine sans la Corse ni les îles du ponant + Belgique
